method,k,N,n_train,n_pool,n_unseen_pool,held_out_formulas,unseen_pool_formulas,selected_idx,selected_formulas,total_pred,total_label,n_unseen_selected,oracle_mode,evals
QAOA_p1,3,12,25,12,4,W;Pd;MnPt;Bi2Se3;Ag;Sb2Te3;Mn3Ga,W;Pd;MnPt;Bi2Se3,"[0, 7, 9]","['Mn3Sn', 'Fe3Sn', 'CrTe2']",0.9805604199180653,1.0,0,screening,300
QAOA_p2,3,12,25,12,4,W;Pd;MnPt;Bi2Se3;Ag;Sb2Te3;Mn3Ga,W;Pd;MnPt;Bi2Se3,"[0, 9, 10]","['Mn3Sn', 'CrTe2', 'MnPt']",2.1542568376122,0.9,1,screening,45
QAOA_p3,3,12,25,12,4,W;Pd;MnPt;Bi2Se3;Ag;Sb2Te3;Mn3Ga,W;Pd;MnPt;Bi2Se3,"[2, 10, 11]","['W', 'MnPt', 'Bi2Se3']",2.504820928144653,3.32,3,screening,131
Greedy_pred,3,12,25,12,4,W;Pd;MnPt;Bi2Se3;Ag;Sb2Te3;Mn3Ga,W;Pd;MnPt;Bi2Se3,"[10, 11, 9]","['MnPt', 'Bi2Se3', 'CrTe2']",2.8996449281555257,4.05,2,screening,
SA,3,12,25,12,4,W;Pd;MnPt;Bi2Se3;Ag;Sb2Te3;Mn3Ga,W;Pd;MnPt;Bi2Se3,"[9, 10, 11]","['CrTe2', 'MnPt', 'Bi2Se3']",2.899644928155526,4.05,2,screening,
Greedy_label,3,12,25,12,4,W;Pd;MnPt;Bi2Se3;Ag;Sb2Te3;Mn3Ga,W;Pd;MnPt;Bi2Se3,"[11, 9, 0]","['Bi2Se3', 'CrTe2', 'Mn3Sn']",1.7824246637819745,4.25,1,screening,
